Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-19 00:00:00-05:00,306.9971255601537,308.4476536509348,304.9504804820009,305.2187194824219,1789300,0.0,0.0
2023-12-20 00:00:00-05:00,305.0101142084354,305.71550370289924,301.47319153114415,302.2381896972656,1567000,0.0,0.0
2023-12-21 00:00:00-05:00,305.1789862158172,305.85457128713773,303.1720601301495,304.9405212402344,921800,0.0,0.0
2023-12-22 00:00:00-05:00,305.7154883885572,309.3021049924119,304.185492132957,309.2524108886719,1347900,0.0,0.0
2023-12-26 00:00:00-05:00,309.4312780768733,311.99454187904854,308.3582613635746,310.64337158203125,548500,0.0,0.0
2023-12-27 00:00:00-05:00,309.9180446420692,311.3785174906175,309.78888243536335,311.2394104003906,694100,0.0,0.0
2023-12-28 00:00:00-05:00,311.11029898914353,311.9647100747126,309.94786937205225,310.8122253417969,664200,0.0,0.0
2023-12-29 00:00:00-05:00,310.8718140195096,312.1037971070805,309.49083959749817,309.8782958984375,682000,0.0,0.0
2024-01-02 00:00:00-05:00,302.62566655167296,304.4437916177122,298.9397223149795,302.93365478515625,1968500,0.0,0.0
2024-01-03 00:00:00-05:00,299.0489672590809,299.27748735183724,294.2602024335366,294.84637451171875,2153200,0.0,0.0
2024-01-04 00:00:00-05:00,293.3163967441142,296.0187675313211,291.2697516243659,293.8528747558594,1711200,0.0,0.0
2024-01-05 00:00:00-05:00,293.04810557387634,297.33016638267685,293.04810557387634,294.7569580078125,1343000,0.0,0.0
2024-01-08 00:00:00-05:00,294.9556613622535,298.4031704169112,292.6606369536237,297.52886962890625,1334500,0.0,0.0
2024-01-09 00:00:00-05:00,295.5418853005686,296.78378315618335,293.16736204714266,295.5816345214844,1730400,0.0,0.0
2024-01-10 00:00:00-05:00,295.5418860997475,296.8731969661939,294.5781721483936,296.4658508300781,1824100,0.0,0.0
2024-01-11 00:00:00-05:00,297.06193286810327,297.40967029160157,294.39931144890613,295.4921875,1341200,0.0,0.0
2024-01-12 00:00:00-05:00,296.93277360722675,300.61871756551375,294.4688679254638,300.5491943359375,1515300,0.0,0.0
2024-01-16 00:00:00-05:00,300.0424864342301,300.8770380561386,296.7539437270391,298.1349182128906,1177800,0.0,0.0
2024-01-17 00:00:00-05:00,295.8299767301969,300.81742697332834,295.5716523065276,298.92974853515625,1562600,0.0,0.0
