Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2023-12-18 00:00:00-05:00,,,,,0,0.68,0.0
2023-12-19 00:00:00-05:00,253.65545654296875,254.5481843765714,252.08821079026362,253.9232809472887,194100,0.0,0.0
2023-12-20 00:00:00-05:00,252.99087524414062,257.5339007606828,250.36226074668633,252.85200612946895,265700,0.0,0.0
2023-12-21 00:00:00-05:00,257.0776062011719,257.33548650864236,254.8259136561685,255.1532663554273,199500,0.0,0.0
2023-12-22 00:00:00-05:00,259.2499084472656,260.31127712031815,256.18485904185275,257.7421909896555,207200,0.0,0.0
2023-12-26 00:00:00-05:00,261.8487854003906,261.9380551586541,258.94241756022916,258.94241756022916,124300,0.0,0.0
2023-12-27 00:00:00-05:00,262.05706787109375,263.09857860118603,261.57103356654335,262.3248771319531,164100,0.0,0.0
2023-12-28 00:00:00-05:00,262.3843688964844,263.4556663949181,261.62059644146933,262.74147815302643,152300,0.0,0.0
2023-12-29 00:00:00-05:00,262.0273132324219,263.84252544522724,261.2337538534726,261.49166443553054,155200,0.0,0.0
2024-01-02 00:00:00-05:00,256.5617980957031,261.43216112656955,255.83771108214535,259.9442712900147,259000,0.0,0.0
2024-01-03 00:00:00-05:00,249.55880737304688,254.7465943411069,249.55880737304688,254.05223361899507,244200,0.0,0.0
2024-01-04 00:00:00-05:00,249.12234497070312,252.0485403781007,248.477598772638,249.29098580217035,252900,0.0,0.0
2024-01-05 00:00:00-05:00,247.71380615234375,250.21346522626823,247.6245363978887,248.8545307342383,177100,0.0,0.0
2024-01-08 00:00:00-05:00,250.78878784179688,250.85821482878626,247.05914951631323,247.85267863640922,178700,0.0,0.0
2024-01-09 00:00:00-05:00,248.29905700683594,248.9934025528197,247.23768835143395,248.1105885438694,143100,0.0,0.0
2024-01-10 00:00:00-05:00,248.59661865234375,248.695817358205,245.5414831661061,248.08082776153813,155300,0.0,0.0
2024-01-11 00:00:00-05:00,248.58670043945312,248.87435246440737,245.7200334636937,248.18000694245126,132800,0.0,0.0
