Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-19 00:00:00-05:00,32.83404783047213,33.49422413876152,32.83404783047213,33.445682525634766,4855700,0.0,0.0
2023-12-20 00:00:00-05:00,33.406848485561156,33.804895647500615,33.09617771055903,33.10588455200195,3490400,0.0,0.0
2023-12-21 00:00:00-05:00,33.46510233666039,33.484519724015726,32.8923023718858,33.115596771240234,2957200,0.0,0.0
2023-12-22 00:00:00-05:00,33.30005853365725,33.60102250175411,33.20297529413604,33.35831069946289,2253500,0.0,0.0
2023-12-26 00:00:00-05:00,33.42625986730785,33.7175132036162,33.30975927348193,33.62042999267578,2542300,0.0,0.0
2023-12-27 00:00:00-05:00,33.75635742701046,33.921399672546976,33.601022023892725,33.746646881103516,2109200,0.0,0.0
2023-12-28 00:00:00-05:00,33.795189783655985,34.11556740936864,33.7078133941911,34.07673263549805,2586100,0.0,0.0
2023-12-29 00:00:00-05:00,33.89227329181444,34.105860846360244,33.72723105674753,33.75635528564453,3079100,0.0,0.0
2024-01-02 00:00:00-05:00,33.56218075326163,33.98935210330954,33.48451491847448,33.7757682800293,2317100,0.0,0.0
2024-01-03 00:00:00-05:00,33.261221212728266,33.377725535429626,32.9505504258338,33.067054748535156,2939800,0.0,0.0
2024-01-04 00:00:00-05:00,32.92142671216704,33.03792733320388,32.55250375814775,32.610755920410156,3317500,0.0,0.0
2024-01-05 00:00:00-05:00,32.34862222878327,32.77579358193317,32.1253278598535,32.69812774658203,4199900,0.0,0.0
2024-01-08 00:00:00-05:00,32.60104691736317,33.14471891515443,32.52337737282858,33.057342529296875,2262500,0.0,0.0
2024-01-09 00:00:00-05:00,32.62045648802624,32.90200299624212,32.513666432984216,32.756378173828125,1984600,0.0,0.0
2024-01-10 00:00:00-05:00,32.71754647534075,33.03792407749254,32.71754647534075,32.84375762939453,2219300,0.0,0.0
2024-01-11 00:00:00-05:00,32.70783144979238,32.882584191929126,32.523371867975634,32.86316680908203,2679000,0.0,0.0
2024-01-12 00:00:00-05:00,33.24180687172028,33.36801433025238,32.601047923485886,32.64958953857422,3261400,0.0,0.0
2024-01-16 00:00:00-05:00,32.348623014416845,32.58162793310404,32.028245417645444,32.10591125488281,3920500,0.0,0.0
2024-01-17 00:00:00-05:00,31.717569604273223,31.96999189736623,31.309815643336275,31.52340316772461,3660300,0.0,0.0
2024-01-18 00:00:00-05:00,31.533114060994077,31.717573680818138,31.261278052098014,31.639907836914062,3099400,0.0,0.0
2024-01-19 00:00:00-05:00,31.736989066132246,31.97970083119333,31.368069849750484,31.892324447631836,4049000,0.0,0.0
2024-01-22 00:00:00-05:00,31.999116109096544,32.69812713154601,31.940867659550676,32.46512222290039,4601100,0.0,0.0
2024-01-23 00:00:00-05:00,32.649588122651046,32.65929496385262,32.13503665526345,32.31949996948242,3770700,0.0,0.0
2024-01-24 00:00:00-05:00,32.63987850241803,32.71754804818114,32.08649595106306,32.16416549682617,4352900,0.0,0.0
2024-01-25 00:00:00-05:00,32.71754811930672,32.872883507682864,32.22241402270992,32.34862518310547,3859200,0.0,0.0
2024-01-26 00:00:00-05:00,31.72728413048867,32.23212507655314,30.97002271139196,32.14474868774414,6168500,0.0,0.0
2024-01-29 00:00:00-05:00,32.06707508373334,32.25153838315332,31.92145025646678,32.02824401855469,3870600,0.0,0.0
2024-01-30 00:00:00-05:00,31.727280933606657,32.261246054308494,31.649611394274583,32.125328063964844,3233500,0.0,0.0
2024-01-31 00:00:00-05:00,32.27095455998898,32.32920300732114,31.630195714924493,31.814655303955078,4415200,0.0,0.0
2024-02-01 00:00:00-05:00,31.960286743440076,32.49425564446295,31.882620896420026,32.47483825683594,4249900,0.0,0.0
2024-02-02 00:00:00-05:00,31.969998330376644,32.261251747293024,31.571951129777023,31.940874099731445,5045900,0.0,0.0
2024-02-05 00:00:00-05:00,31.445736508444003,31.69815882464043,31.028271965377986,31.426319122314453,4072000,0.0,0.0
2024-02-06 00:00:00-05:00,31.426317668700595,32.0282455004115,31.309817060799716,31.853492736816406,4222000,0.0,0.0
2024-02-07 00:00:00-05:00,32.008826614193936,32.08649244799003,31.542820500955234,31.90203285217285,3644900,0.0,0.0
2024-02-08 00:00:00-05:00,31.83407698609994,32.25154153129092,31.81465959987155,32.04766082763672,2844800,0.0,0.0
2024-02-09 00:00:00-05:00,32.06707978046081,32.309791564941406,31.989413935240734,32.309791564941406,3191000,0.0,0.0
2024-02-12 00:00:00-05:00,32.377745112113296,32.64958478329372,32.232120288057956,32.55249786376953,2678600,0.0,0.0
2024-02-13 00:00:00-05:00,31.73698750980051,32.1059104115785,31.591362679997644,31.88261604309082,3455000,0.0,0.0
2024-02-14 00:00:00-05:00,32.05736698198059,32.2029918035174,31.67873726110278,32.067073822021484,3482000,0.0,0.0
2024-02-15 00:00:00-05:00,32.29132339143857,32.69106487966909,32.262075193526,32.58381652832031,3135200,0.14,0.0
2024-02-16 00:00:00-05:00,32.17432182745613,32.44731488310439,32.047573457654536,32.164573669433594,3199500,0.0,0.0
2024-02-20 00:00:00-05:00,31.950081262272327,32.388822816839316,31.79408467834317,32.232826232910156,3471000,0.0,0.0
2024-02-21 00:00:00-05:00,32.271818344929,32.40831859225938,32.09632174618425,32.330318450927734,3782800,0.0,0.0
2024-02-22 00:00:00-05:00,32.50581978729438,33.0128096220879,32.281574927160094,32.84706115722656,5206200,0.0,0.0
2024-02-23 00:00:00-05:00,32.944556488974186,32.97380468229673,32.53506318620142,32.54481506347656,2309300,0.0,0.0
2024-02-26 00:00:00-05:00,32.359574670486026,32.53507131275942,31.901336743885384,31.9598331451416,3141000,0.0,0.0
2024-02-27 00:00:00-05:00,32.13532821602274,32.15482825523873,31.852583226269132,32.07683181762695,2654400,0.0,0.0
2024-02-28 00:00:00-05:00,31.998829362684322,33.3833022935728,31.998829362684322,33.37355041503906,3731600,0.0,0.0
2024-02-29 00:00:00-05:00,33.67579102702351,33.870787660476594,33.33454598866775,33.51979446411133,5424200,0.0,0.0
2024-03-01 00:00:00-05:00,33.4027989523322,34.08528540581955,33.24680236747097,34.036537170410156,5144300,0.0,0.0
2024-03-04 00:00:00-05:00,34.00728721660851,34.53377333879075,33.880538835688824,34.475276947021484,3675300,0.0,0.0
2024-03-05 00:00:00-05:00,34.251031086120115,34.52402415763122,33.30529977516859,33.57829284667969,3291300,0.0,0.0
2024-03-06 00:00:00-05:00,33.74404165848449,33.98778653759027,33.607545121265524,33.69529342651367,3298100,0.0,0.0
2024-03-07 00:00:00-05:00,33.832583342591676,33.930647305195556,33.5187741731788,33.70509719848633,3223900,0.2,0.0
2024-03-08 00:00:00-05:00,34.00910340197642,34.31310768877671,33.79335818289876,34.16600799560547,3734300,0.0,0.0
2024-03-11 00:00:00-04:00,34.01890599866208,34.4209742264146,33.999292458174104,34.39155578613281,2202100,0.0,0.0
2024-03-12 00:00:00-04:00,34.273879197343575,34.322911179419805,33.538388243498865,33.803165435791016,3330900,0.0,0.0
2024-03-13 00:00:00-04:00,33.72470905454922,34.10716372686028,33.69529061541766,33.891422271728516,2508500,0.0,0.0
2024-03-14 00:00:00-04:00,33.68548425347338,33.862002382002196,33.21477049103005,33.597225189208984,4124900,0.0,0.0
2024-03-15 00:00:00-04:00,33.27361114172338,33.940456574295354,33.20496561844983,33.66587448120117,6848900,0.0,0.0
2024-03-18 00:00:00-04:00,33.73452065127802,33.84238951784719,33.263803138519265,33.489356994628906,3373100,0.0,0.0
2024-03-19 00:00:00-04:00,33.3226440257132,33.911039050853084,33.30303048411849,33.862003326416016,2496400,0.0,0.0
2024-03-20 00:00:00-04:00,33.803164971401955,34.72497894083259,33.72471080843745,34.626914978027344,3446000,0.0,0.0
2024-03-21 00:00:00-04:00,34.73478638505443,35.117244846170664,34.53865844507769,34.84265899658203,2890800,0.0,0.0
2024-03-22 00:00:00-04:00,34.901498518989555,35.05840311054759,34.75439882775991,34.921112060546875,3826500,0.0,0.0
