Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,482480100,KLAC ,"2,667,192","1,729,807,371.60",0.533,KLA Corp,Common Stock,Information Technology,12/26/2024
QQQ,22788C105,CRWD ,"4,662,949","1,702,349,420.92",0.524,Crowdstrike Holdings Inc,Common Stock,Information Technology,12/26/2024
QQQ,127387108,CDNS ,"5,468,707","1,688,135,163.83",0.520,Cadence Design Systems Inc,Common Stock,Information Technology,12/26/2024
QQQ,609207105,MDLZ ,"26,663,248","1,595,795,392.80",0.491,Mondelez International Inc,Common Stock,Consumer Staples,12/26/2024
QQQ,571903202,MAR ,"5,541,083","1,587,852,744.48",0.489,Marriott International Inc/MD,Common Stock,Consumer Discretionary,12/26/2024
QQQ,75886F107,REGN ,"2,154,891","1,544,367,281.88",0.476,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,12/26/2024
QQQ,871607107,SNPS ,"3,062,977","1,518,685,256.14",0.468,Synopsys Inc,Common Stock,Information Technology,12/26/2024
QQQ,172908105,CTAS ,"8,041,609","1,488,743,074.17",0.458,Cintas Corp,Common Stock,Industrials,12/26/2024
QQQ,34959E109,FTNT ,"15,282,847","1,486,868,184.63",0.458,Fortinet Inc,Common Stock,Information Technology,12/26/2024
QQQ,21037T109,CEG ,"6,236,538","1,425,922,048.32",0.439,Constellation Energy Corp,Common Stock,Utilities,12/26/2024
QQQ,67103H107,ORLY ,"1,151,113","1,389,140,146.14",0.428,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,12/26/2024
QQQ,25809K105,DASH ,"7,756,221","1,322,978,615.97",0.407,DoorDash Inc,Common Stock,Consumer Discretionary,12/26/2024
QQQ,722304102,PDD ,"13,318,258","1,316,776,168.46",0.405,PDD Holdings Inc ADR,American Depository Receipt,Consumer Discretionary,12/26/2024
QQQ,052769106,ADSK ,"4,287,108","1,287,332,790.24",0.396,Autodesk Inc,Common Stock,Information Technology,12/26/2024
QQQ,N07059210,ASML ,"1,768,692","1,266,135,855.12",0.390,ASML Holding NV,American Depository Receipt - NY,Information Technology,12/26/2024
QQQ,126408103,CSX ,"38,452,121","1,250,462,974.92",0.385,CSX Corp,Common Stock,Industrials,12/26/2024
QQQ,594972408,MSTR ,"3,649,115","1,244,530,670.75",0.383,MicroStrategy Inc,Common Stock,Information Technology,12/26/2024
QQQ,009066101,ABNB ,"8,631,397","1,168,000,642.04",0.360,Airbnb Inc,Common Stock,Consumer Discretionary,12/26/2024
QQQ,98138H101,WDAY ,"4,247,195","1,144,109,389.10",0.352,Workday Inc,Common Stock,Information Technology,12/26/2024
QQQ,217204106,CPRT ,"19,212,531","1,134,884,206.17",0.349,Copart Inc,Common Stock,Industrials,12/26/2024
QQQ,776696106,ROP ,"2,138,162","1,127,324,532.88",0.347,Roper Technologies Inc,Common Stock,Information Technology,12/26/2024
QQQ,88339J105,TTD ,"8,965,991","1,106,941,248.86",0.341,Trade Desk Inc/The,Common Stock,Communication Services,12/26/2024
QQQ,693718108,PCAR ,"10,454,449","1,102,212,558.07",0.339,PACCAR Inc,Common Stock,Industrials,12/26/2024
QQQ,N6596X109,NXPI ,"5,067,813","1,089,782,507.52",0.336,NXP Semiconductors NV,Common Stock,Information Technology,12/26/2024
QQQ,704326107,PAYX ,"7,176,274","1,023,623,723.36",0.315,Paychex Inc,Common Stock,Industrials,12/26/2024
QQQ,61174X109,MNST ,"19,391,763","1,021,364,157.21",0.314,Monster Beverage Corp,Common Stock,Consumer Staples,12/26/2024
QQQ,778296103,ROST ,"6,615,295","1,017,895,441.65",0.313,Ross Stores Inc,Common Stock,Consumer Discretionary,12/26/2024
QQQ,16119P108,CHTR ,"2,835,396","997,435,604.88",0.307,Charter Communications Inc,Common Stock,Communication Services,12/26/2024
QQQ,025537101,AEP ,"10,619,170","977,600,790.20",0.301,American Electric Power Co Inc,Common Stock,Utilities,12/26/2024
QQQ,05464C101,AXON ,"1,520,494","948,484,157.20",0.292,Axon Enterprise Inc,Common Stock,Industrials,12/26/2024
QQQ,23804L103,DDOG ,"6,245,415","921,573,437.40",0.284,Datadog Inc,Common Stock,Information Technology,12/26/2024
QQQ,25278X109,FANG ,"5,822,137","920,072,310.11",0.283,Diamondback Energy Inc,Common Stock,Energy,12/26/2024
QQQ,550021109,LULU ,"2,346,155","905,193,522.10",0.279,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,12/26/2024
QQQ,49271V100,KDP ,"27,047,317","873,898,812.27",0.269,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,12/26/2024
QQQ,311900104,FAST ,"11,423,236","850,117,223.12",0.262,Fastenal Co,Common Stock,Industrials,12/26/2024
QQQ,049468101,TEAM ,"3,219,444","818,511,442.56",0.252,Atlassian Corp,Common Stock,Information Technology,12/26/2024
QQQ,05722G100,BKR ,"19,730,959","806,601,603.92",0.248,Baker Hughes Co,Common Stock,Energy,12/26/2024
QQQ,192446102,CTSH ,"9,886,600","789,840,474.00",0.243,Cognizant Technology Solutions Corp,Common Stock,Information Technology,12/26/2024
QQQ,92345Y106,VRSK ,"2,815,640","783,817,863.20",0.241,Verisk Analytics Inc,Common Stock,Industrials,12/26/2024
QQQ,98389B100,XEL ,"11,450,287","780,680,567.66",0.240,Xcel Energy Inc,Common Stock,Utilities,12/26/2024
QQQ,285512109,EA ,"5,229,695","779,590,633.65",0.240,Electronic Arts Inc,Common Stock,Communication Services,12/26/2024
QQQ,679580100,ODFL ,"4,257,090","772,406,409.60",0.238,Old Dominion Freight Line Inc,Common Stock,Industrials,12/26/2024
QQQ,046353108,AZN ,"11,610,897","772,356,868.44",0.238,AstraZeneca PLC ADR,American Depository Receipt,Health Care,12/26/2024
