Date,Close,Volume,Stock Splits,Ticker
2023-12-19,204.28306579589844,1776900,0.0,AMT
2023-12-20,204.3895721435547,2991200,0.0,AMT
2023-12-21,207.45864868164065,1685500,0.0,AMT
2023-12-22,208.3396759033203,1106400,0.0,AMT
2023-12-26,209.35626220703125,1053100,0.0,AMT
2023-12-27,211.4835968017578,1860500,0.0,AMT
2023-12-28,211.91294860839844,1125400,0.0,AMT
2023-12-29,210.66387939453125,1584400,0.0,AMT
2024-01-02,213.5230712890625,1566300,0.0,AMT
2024-01-03,209.50262451171875,1533500,0.0,AMT
2024-01-04,210.2540283203125,2033000,0.0,AMT
2024-01-05,209.1025238037109,1884000,0.0,AMT
2024-01-08,210.85903930664065,1703200,0.0,AMT
2024-01-09,206.74099731445312,1578800,0.0,AMT
2024-01-10,203.9208526611328,2088900,0.0,AMT
2024-01-11,202.6327362060547,2271600,0.0,AMT
2024-01-12,204.3697204589844,1763400,0.0,AMT
2024-01-16,203.0230712890625,2400000,0.0,AMT
2024-01-17,199.9979553222656,2629300,0.0,AMT
2024-01-18,198.98309326171875,2881000,0.0,AMT
2024-01-19,198.94406127929688,1986400,0.0,AMT
2024-01-22,199.0904541015625,2185500,0.0,AMT
2024-01-23,197.3729705810547,2108900,0.0,AMT
2024-01-24,192.005859375,3308500,0.0,AMT
2024-01-25,195.3725128173828,2510500,0.0,AMT
2024-01-26,192.5230255126953,1831100,0.0,AMT
2024-01-29,194.299072265625,2466000,0.0,AMT
2024-01-30,190.8348388671875,2428100,0.0,AMT
2024-01-31,190.9226531982422,2454100,0.0,AMT
2024-02-01,193.59646606445312,2700800,0.0,AMT
2024-02-02,188.8343811035156,2914000,0.0,AMT
2024-02-05,184.8919982910156,2489100,0.0,AMT
2024-02-06,187.0388336181641,1777000,0.0,AMT
2024-02-07,188.9417266845703,2254800,0.0,AMT
2024-02-08,188.96124267578125,2001100,0.0,AMT
2024-02-09,189.7418975830078,1903900,0.0,AMT
2024-02-12,187.1364288330078,1589700,0.0,AMT
2024-02-13,183.86737060546875,3512500,0.0,AMT
2024-02-14,183.9356842041016,1818100,0.0,AMT
2024-02-15,184.8822479248047,2411900,0.0,AMT
2024-02-16,182.6085357666016,2127200,0.0,AMT
2024-02-20,183.84783935546875,2241000,0.0,AMT
2024-02-21,183.6722106933593,1863200,0.0,AMT
2024-02-22,183.4672698974609,2149700,0.0,AMT
2024-02-23,185.34088134765625,1458600,0.0,AMT
2024-02-26,183.1842803955078,3310700,0.0,AMT
2024-02-27,182.16940307617188,4672100,0.0,AMT
2024-02-28,189.07833862304688,4059100,0.0,AMT
2024-02-29,194.0551147460937,4676900,0.0,AMT
2024-03-01,196.8850250244141,3473500,0.0,AMT
2024-03-04,201.16897583007807,2851800,0.0,AMT
2024-03-05,200.45660400390625,2469900,0.0,AMT
2024-03-06,201.0323638916016,1865400,0.0,AMT
2024-03-07,199.7832794189453,2085800,0.0,AMT
2024-03-08,202.30093383789065,2156000,0.0,AMT
2024-03-11,201.7544860839844,2006300,0.0,AMT
2024-03-12,199.24655151367188,1746100,0.0,AMT
2024-03-13,197.46080017089844,1690400,0.0,AMT
2024-03-14,194.37713623046875,2010400,0.0,AMT
2024-03-15,192.57183837890625,3346800,0.0,AMT
2024-03-18,191.1763916015625,1833500,0.0,AMT
2024-03-19,191.8789978027344,1463500,0.0,AMT
2024-03-20,189.9273223876953,2154800,0.0,AMT
2024-03-21,189.2539978027344,2658000,0.0,AMT
2024-03-22,188.1317749023437,2581300,0.0,AMT
2024-03-25,190.8348388671875,2144800,0.0,AMT
2024-03-26,189.4101409912109,1823400,0.0,AMT
2024-03-27,192.61087036132807,2494200,0.0,AMT
2024-03-28,192.8157958984375,2170500,0.0,AMT
2024-04-01,188.34646606445312,2195800,0.0,AMT
2024-04-02,187.53651428222656,2321300,0.0,AMT
2024-04-03,187.6633758544922,2270400,0.0,AMT
2024-04-04,185.7019500732422,2265400,0.0,AMT
2024-04-05,185.57508850097656,2538800,0.0,AMT
2024-04-08,183.6624450683593,2296800,0.0,AMT
2024-04-09,188.1512908935547,1962900,0.0,AMT
2024-04-10,177.56346130371094,4136500,0.0,AMT
2024-04-11,175.88961791992188,3688600,0.0,AMT
2024-04-12,176.44100952148438,3839000,0.0,AMT
2024-04-15,175.37762451171875,2562800,0.0,AMT
2024-04-16,169.55862426757812,3848700,0.0,AMT
2024-04-17,169.37155151367188,2732800,0.0,AMT
2024-04-18,168.36724853515625,2276200,0.0,AMT
2024-04-19,168.66262817382812,2867400,0.0,AMT
2024-04-22,169.64723205566406,2603800,0.0,AMT
2024-04-23,171.49827575683594,2659000,0.0,AMT
2024-04-24,170.6810760498047,3029300,0.0,AMT
2024-04-25,170.2379913330078,1862300,0.0,AMT
2024-04-26,169.046630859375,1701400,0.0,AMT
2024-04-29,172.2958221435547,2104800,0.0,AMT
2024-04-30,168.9186248779297,3710600,0.0,AMT
2024-05-01,174.11734008789062,3877100,0.0,AMT
2024-05-02,176.8742218017578,3278100,0.0,AMT
2024-05-03,178.94189453125,3130300,0.0,AMT
2024-05-06,175.93885803222656,2297900,0.0,AMT
2024-05-07,178.4889678955078,2594800,0.0,AMT
2024-05-08,178.53822326660156,2014400,0.0,AMT
2024-05-09,183.50059509277344,2588000,0.0,AMT
2024-05-10,181.64956665039065,3158100,0.0,AMT
2024-05-13,182.1517028808593,1842700,0.0,AMT
2024-05-14,184.0815277099609,2008300,0.0,AMT
2024-05-15,189.06362915039065,2815200,0.0,AMT
2024-05-16,191.9386749267578,2616900,0.0,AMT
2024-05-17,191.51528930664065,2157300,0.0,AMT
2024-05-20,188.8076171875,1733500,0.0,AMT
2024-05-21,191.14114379882807,1527300,0.0,AMT
2024-05-22,188.3940887451172,1681100,0.0,AMT
2024-05-23,183.72706604003903,1768800,0.0,AMT
2024-05-24,183.0673828125,1257900,0.0,AMT
2024-05-28,182.1812438964844,1828300,0.0,AMT
2024-05-29,182.4667816162109,1977700,0.0,AMT
2024-05-30,187.8427124023437,2850400,0.0,AMT
2024-05-31,192.72634887695312,7331900,0.0,AMT
2024-06-03,193.9374084472656,2333200,0.0,AMT
2024-06-04,197.324447631836,3236300,0.0,AMT
2024-06-05,195.1386260986328,1737100,0.0,AMT
2024-06-06,196.4186248779297,1865800,0.0,AMT
2024-06-07,191.2691192626953,2143300,0.0,AMT
2024-06-10,191.7220458984375,2874700,0.0,AMT
2024-06-11,190.2943878173828,2781800,0.0,AMT
2024-06-12,190.8359222412109,3331500,0.0,AMT
2024-06-13,193.7503356933593,1531300,0.0,AMT
2024-06-14,195.60682678222656,1933200,0.0,AMT
2024-06-17,190.89112854003903,1779700,0.0,AMT
2024-06-18,191.3875274658203,2407800,0.0,AMT
2024-06-20,192.7674865722656,2236300,0.0,AMT
2024-06-21,193.4425811767578,2837000,0.0,AMT
2024-06-24,194.9714508056641,1792200,0.0,AMT
2024-06-25,191.28823852539065,1364400,0.0,AMT
2024-06-26,191.2783203125,1828500,0.0,AMT
2024-06-27,193.9091796875,1599300,0.0,AMT
2024-06-28,192.97596740722656,2393900,0.0,AMT
2024-07-01,192.6185760498047,1691700,0.0,AMT
2024-07-02,190.88121032714844,1913600,0.0,AMT
2024-07-03,193.38299560546875,1182600,0.0,AMT
2024-07-05,194.22686767578125,1018500,0.0,AMT
2024-07-08,194.75303649902344,1508800,0.0,AMT
2024-07-09,194.5445556640625,1577100,0.0,AMT
2024-07-10,195.3487091064453,1576900,0.0,AMT
2024-07-11,205.703369140625,2256000,0.0,AMT
2024-07-12,209.08872985839844,2238600,0.0,AMT
2024-07-15,207.33151245117188,1585400,0.0,AMT
2024-07-16,208.63204956054688,1329400,0.0,AMT
2024-07-17,211.58059692382807,1759700,0.0,AMT
2024-07-18,209.12844848632807,1736300,0.0,AMT
2024-07-19,208.62213134765625,1404100,0.0,AMT
2024-07-22,207.8576812744141,1476200,0.0,AMT
2024-07-23,208.0066070556641,1123600,0.0,AMT
