Date,Close,Volume,StockSplits,Ticker
2023-12-19,219.61782836914065,1854000,0.0,CB
2023-12-20,216.6474456787109,1672200,0.0,CB
2023-12-21,217.8455047607422,1572700,0.0,CB
2023-12-22,218.5880889892578,1004500,0.0,CB
2023-12-26,219.875244140625,1134200,0.0,CB
2023-12-27,220.48912048339844,1009400,0.0,CB
2023-12-28,222.2119140625,1327400,0.0,CB
2023-12-29,223.76638793945312,1671600,0.0,CB
2024-01-02,225.10305786132807,2399300,0.0,CB
2024-01-03,224.1723480224609,1811100,0.0,CB
2024-01-04,225.05357360839844,1583900,0.0,CB
2024-01-05,225.44960021972656,1439200,0.0,CB
2024-01-08,223.96441650390625,1535500,0.0,CB
2024-01-09,223.08322143554688,1293300,0.0,CB
2024-01-10,223.0238037109375,1716800,0.0,CB
2024-01-11,225.45950317382807,1555100,0.0,CB
2024-01-12,225.30108642578125,1446800,0.0,CB
2024-01-16,225.4792938232422,1655000,0.0,CB
2024-01-17,225.9941864013672,2164500,0.0,CB
2024-01-18,227.75656127929688,1280500,0.0,CB
2024-01-19,234.9745330810547,3549600,0.0,CB
2024-01-22,236.637924194336,2550200,0.0,CB
2024-01-23,237.9745941162109,2228600,0.0,CB
2024-01-24,239.19241333007807,2475000,0.0,CB
2024-01-25,238.8260803222656,2020100,0.0,CB
2024-01-26,238.8557891845703,1764000,0.0,CB
2024-01-29,240.37066650390625,1738500,0.0,CB
2024-01-30,240.76670837402344,2641100,0.0,CB
2024-01-31,242.57861328125,3530900,0.0,CB
2024-02-01,242.52911376953125,2030000,0.0,CB
2024-02-02,244.2519073486328,2094600,0.0,CB
2024-02-05,246.78662109375,2139000,0.0,CB
2024-02-06,245.22222900390625,1425900,0.0,CB
2024-02-07,244.449935913086,1982500,0.0,CB
2024-02-08,241.92515563964844,1630700,0.0,CB
2024-02-09,244.7667999267578,1471200,0.0,CB
2024-02-12,245.5588531494141,1234700,0.0,CB
2024-02-13,244.38064575195312,1505000,0.0,CB
2024-02-14,245.66778564453125,2054300,0.0,CB
2024-02-15,248.57872009277344,1447900,0.0,CB
2024-02-16,248.4203186035156,1329500,0.0,CB
2024-02-20,248.0341644287109,1248200,0.0,CB
2024-02-21,249.46983337402344,992000,0.0,CB
2024-02-22,252.9154510498047,1233400,0.0,CB
2024-02-23,253.4798278808593,1153100,0.0,CB
2024-02-26,252.3213653564453,1251800,0.0,CB
2024-02-27,252.35107421875,959100,0.0,CB
2024-02-28,251.0738220214844,1429900,0.0,CB
2024-02-29,249.1826934814453,2396900,0.0,CB
