Date,Close,Volume,StockSplits,Ticker
2023-12-19,52.43999862670898,1876600,0.0,TRMB
2023-12-20,51.41999816894531,848400,0.0,TRMB
2023-12-21,52.36000061035156,924800,0.0,TRMB
2023-12-22,52.43999862670898,785200,0.0,TRMB
2023-12-26,53.18999862670898,735300,0.0,TRMB
2023-12-27,53.33000183105469,727400,0.0,TRMB
2023-12-28,53.63999938964844,1269600,0.0,TRMB
2023-12-29,53.20000076293945,769600,0.0,TRMB
2024-01-02,52.45000076293945,1145000,0.0,TRMB
2024-01-03,50.58000183105469,777900,0.0,TRMB
2024-01-04,51.02000045776367,1146400,0.0,TRMB
2024-01-05,50.77000045776367,1125100,0.0,TRMB
2024-01-08,51.63999938964844,603500,0.0,TRMB
2024-01-09,51.13999938964844,892300,0.0,TRMB
2024-01-10,50.95000076293945,683800,0.0,TRMB
2024-01-11,51.5,686500,0.0,TRMB
2024-01-12,51.2599983215332,710200,0.0,TRMB
2024-01-16,50.310001373291016,1576600,0.0,TRMB
2024-01-17,49.29999923706055,893400,0.0,TRMB
2024-01-18,49.400001525878906,1066400,0.0,TRMB
2024-01-19,50.0099983215332,817900,0.0,TRMB
2024-01-22,50.47999954223633,665700,0.0,TRMB
2024-01-23,51.220001220703125,1495400,0.0,TRMB
2024-01-24,50.7400016784668,1065100,0.0,TRMB
2024-01-25,51.68999862670898,855600,0.0,TRMB
2024-01-26,50.97999954223633,742100,0.0,TRMB
2024-01-29,51.58000183105469,930200,0.0,TRMB
2024-01-30,52.84000015258789,2083800,0.0,TRMB
2024-01-31,50.86000061035156,1555600,0.0,TRMB
2024-02-01,52.38999938964844,1097500,0.0,TRMB
2024-02-02,52.59000015258789,940000,0.0,TRMB
2024-02-05,51.63999938964844,1351600,0.0,TRMB
2024-02-06,51.68999862670898,865300,0.0,TRMB
2024-02-07,51.90999984741211,1486000,0.0,TRMB
2024-02-08,52.08000183105469,1031300,0.0,TRMB
2024-02-09,52.5099983215332,1597400,0.0,TRMB
2024-02-12,54.68999862670898,3722300,0.0,TRMB
2024-02-13,55.959999084472656,4016700,0.0,TRMB
2024-02-14,58.209999084472656,3573500,0.0,TRMB
2024-02-15,60.150001525878906,2447200,0.0,TRMB
2024-02-16,60.290000915527344,1986700,0.0,TRMB
2024-02-20,60.130001068115234,2131800,0.0,TRMB
2024-02-21,60.310001373291016,1954900,0.0,TRMB
2024-02-22,61.400001525878906,1798300,0.0,TRMB
2024-02-23,61.459999084472656,1314800,0.0,TRMB
2024-02-26,61.810001373291016,1422900,0.0,TRMB
2024-02-27,61.77999877929688,1116400,0.0,TRMB
2024-02-28,60.90999984741211,1573200,0.0,TRMB
2024-02-29,61.18999862670898,2728500,0.0,TRMB
2024-03-01,62.34999847412109,1660200,0.0,TRMB
2024-03-04,62.54999923706055,958500,0.0,TRMB
2024-03-05,61.790000915527344,1138300,0.0,TRMB
2024-03-06,62.43000030517578,1045800,0.0,TRMB
